Día,Fecha,Tipo,Producto,Hora,Caption,Prompt
"11","2026-03-10","Pack Especial","Habitat Deluxe para Hámsters","1:00 PM","🎁 PACK ESPECIAL DE FIN DE SEMANA 🎁

Lleva TODO lo que tu roedor necesita:

✅ Habitat Deluxe para Hámsters
✅ Accesorios premium
✅ Envío gratis

💰 Solo $56.00 MXN
❌ Valor normal: $91.00 MXN
💸 Ahorras: $35.00 MXN

⚠️ Solo 10 unidades disponibles

🔗 Link en bio para aprovechar

¿Para qué mascota es este pack? 🐹 Comenta 👇

#BuenAmigo #Promo #Oferta #Bundle #roedorMexico","Professional product photography of ""Habitat Deluxe para Hámsters"" for roedor, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"12","2026-03-11","Testimonio Cliente","Pelota con Sonido Chip-Chip","1:00 PM","⭐ CLIENTE FELIZ ⭐

""A mi perro le encantó su Pelota con Sonido Chip-Chip. ¡No lo suelta desde que llegó! La mejor compra que he hecho."" 💙

— María G. y su perro Luna 🐕

Nos encanta ver a nuestras mascotas clientes disfrutando sus productos 🥰

¿Quieres que tu mascota aparezca aquí?
📸 Súbete foto usando nuestros productos con #BuenAmigo y etiquétanos

🛒 Link en bio para unirte a la familia

#BuenAmigo #Testimonio #ClientesFelices #perroMexico","Happy perro with satisfied expression, natural lighting, cozy home background, bokeh effect, Instagram portrait style, warm and inviting"
"13","2026-03-12","Detrás de Cámaras","Terrario de Cristal 60x40x40cm","11:00 AM","📦 DETRÁS DE CÁMARAS 📦

Así empacamos cada pedido con amor 💙

En BuenAmigo cada caja incluye:
✨ Producto verificado y probado
✨ Stickers exclusivos de mascotas
✨ Guía de cuidado personalizada
✨ Sorpresita para tu peludo amigo

¿Ya recibiste tu pedido? Cuéntanos qué te pareció en los comentarios 👇

— El equipo BuenAmigo 🦎

#BuenAmigo #BehindTheScenes #Equipo #EmprendedorMexico #HechoConAmor","Professional product photography of ""Terrario de Cristal 60x40x40cm"" for reptil, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"14","2026-03-13","Producto Destacado","Acuario Completo 20 Litros","11:00 AM","¿Tu pez necesita esto? 🐠✨

Acuario Completo 20 Litros

✅ Kit todo incluido con filtro
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $89.99 MXN
🔥 Oferta especial (Antes $119.99)

🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #PezMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Acuario Completo 20 Litros"" for pez, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"15","2026-03-14","Tip Educativo","Juguete Interactivo Inteligente","1:00 PM","💡 SABÍAS QUE...

Tu perro necesita estimulación mental para ser feliz 🧠🐕

Un perro aburrido puede desarrollar comportamientos destructivos. Los juguetes interactivos como nuestro Juguete Interactivo Inteligente son la solución perfecta.

✅ Reduce ansiedad
✅ Ejercita la mente
✅ Diversión garantizada

💬 ¿Tu perro muestra signos de aburrimiento? Cuéntanos 👇

Guarda este post para recordarlo 📌

#BuenAmigo #TipsMascotas #CuidadoPerro #EducaciónPet #MascotasMexico","Instagram infographic about pet care tips for perro, modern flat design, icons, orange and teal colors, easy to read typography, engaging layout"
"16","2026-03-15","Estilo de Vida","Fuente de Agua Automática","1:00 PM","Así de feliz está tu perro con Fuente de Agua Automática 💙🐕

Fuente de 2.4L con filtro

📦 Envío a todo México
✨ Garantía de satisfacción

💬 ¿A tu mascota le gustaría? Cuéntanos en los comentarios 👇

#BuenAmigo #MascotasFelices #perro #PetLoversMexico","Lifestyle photo of happy perro using ""Fuente de Agua Automática"" in modern home setting, natural window light, cozy atmosphere, Instagram aesthetic, candid moment, warm tones"
"17","2026-03-16","Nuevo Producto","Guante Quitapelos Mágico","1:00 PM","¿Tu perro necesita esto? 🐕✨

Guante Quitapelos Mágico

✅ Guante de silicona con 255 pines
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $18.99 MXN


🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #PerroMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Guante Quitapelos Mágico"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"18","2026-03-17","Pack Especial","Cama Ortopédica Memory Foam","1:00 PM","🎁 PACK ESPECIAL DE FIN DE SEMANA 🎁

Lleva TODO lo que tu perro necesita:

✅ Cama Ortopédica Memory Foam
✅ Accesorios premium
✅ Envío gratis

💰 Solo $48.00 MXN
❌ Valor normal: $78.00 MXN
💸 Ahorras: $30.00 MXN

⚠️ Solo 10 unidades disponibles

🔗 Link en bio para aprovechar

¿Para qué mascota es este pack? 🐕 Comenta 👇

#BuenAmigo #Promo #Oferta #Bundle #perroMexico","Professional product photography of ""Cama Ortopédica Memory Foam"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"19","2026-03-18","Testimonio Cliente","Jaula Deluxe para Loros","1:00 PM","⭐ CLIENTE FELIZ ⭐

""A mi ave le encantó su Jaula Deluxe para Loros. ¡No lo suelta desde que llegó! La mejor compra que he hecho."" 💙

— María G. y su ave Luna 🦜

Nos encanta ver a nuestras mascotas clientes disfrutando sus productos 🥰

¿Quieres que tu mascota aparezca aquí?
📸 Súbete foto usando nuestros productos con #BuenAmigo y etiquétanos

🛒 Link en bio para unirte a la familia

#BuenAmigo #Testimonio #ClientesFelices #aveMexico","Happy ave with satisfied expression, natural lighting, cozy home background, bokeh effect, Instagram portrait style, warm and inviting"
"20","2026-03-19","Detrás de Cámaras","Fuente Flor de Agua para Gatos","11:00 AM","📦 DETRÁS DE CÁMARAS 📦

Así empacamos cada pedido con amor 💙

En BuenAmigo cada caja incluye:
✨ Producto verificado y probado
✨ Stickers exclusivos de mascotas
✨ Guía de cuidado personalizada
✨ Sorpresita para tu peludo amigo

¿Ya recibiste tu pedido? Cuéntanos qué te pareció en los comentarios 👇

— El equipo BuenAmigo 🐈

#BuenAmigo #BehindTheScenes #Equipo #EmprendedorMexico #HechoConAmor","Professional product photography of ""Fuente Flor de Agua para Gatos"" for gato, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"21","2026-03-20","Producto Destacado","Varita con Plumas Interactiva","11:00 AM","¿Tu gato necesita esto? 🐈✨

Varita con Plumas Interactiva

✅ Varita extensible con plumas naturales
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $8.99 MXN


🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #GatoMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Varita con Plumas Interactiva"" for gato, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"22","2026-03-21","Tip Educativo","Rascador Circular de Cartón","1:00 PM","💡 SABÍAS QUE...

Tu gato necesita estimulación mental para ser feliz 🧠🐈

Un gato aburrido puede desarrollar comportamientos destructivos. Los juguetes interactivos como nuestro Rascador Circular de Cartón son la solución perfecta.

✅ Reduce ansiedad
✅ Ejercita la mente
✅ Diversión garantizada

💬 ¿Tu gato muestra signos de aburrimiento? Cuéntanos 👇

Guarda este post para recordarlo 📌

#BuenAmigo #TipsMascotas #CuidadoGato #EducaciónPet #MascotasMexico","Instagram infographic about pet care tips for gato, modern flat design, icons, orange and teal colors, easy to read typography, engaging layout"
"23","2026-03-22","Estilo de Vida","Habitat Deluxe para Hámsters","1:00 PM","Así de feliz está tu roedor con Habitat Deluxe para Hámsters 💙🐹

Jaula de 3 niveles con túneles

📦 Envío a todo México
✨ Garantía de satisfacción

💬 ¿A tu mascota le gustaría? Cuéntanos en los comentarios 👇

#BuenAmigo #MascotasFelices #roedor #PetLoversMexico","Lifestyle photo of happy roedor using ""Habitat Deluxe para Hámsters"" in modern home setting, natural window light, cozy atmosphere, Instagram aesthetic, candid moment, warm tones"
"24","2026-03-23","Nuevo Producto","Pelota con Sonido Chip-Chip","1:00 PM","¿Tu perro necesita esto? 🐕✨

Pelota con Sonido Chip-Chip

✅ Pelota resistente con sonido
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $12.99 MXN


🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #PerroMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Pelota con Sonido Chip-Chip"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"25","2026-03-24","Pack Especial","Terrario de Cristal 60x40x40cm","1:00 PM","🎁 PACK ESPECIAL DE FIN DE SEMANA 🎁

Lleva TODO lo que tu reptil necesita:

✅ Terrario de Cristal 60x40x40cm
✅ Accesorios premium
✅ Envío gratis

💰 Solo $104.00 MXN
❌ Valor normal: $169.00 MXN
💸 Ahorras: $65.00 MXN

⚠️ Solo 10 unidades disponibles

🔗 Link en bio para aprovechar

¿Para qué mascota es este pack? 🦎 Comenta 👇

#BuenAmigo #Promo #Oferta #Bundle #reptilMexico","Professional product photography of ""Terrario de Cristal 60x40x40cm"" for reptil, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"26","2026-03-25","Testimonio Cliente","Acuario Completo 20 Litros","1:00 PM","⭐ CLIENTE FELIZ ⭐

""A mi pez le encantó su Acuario Completo 20 Litros. ¡No lo suelta desde que llegó! La mejor compra que he hecho."" 💙

— María G. y su pez Luna 🐠

Nos encanta ver a nuestras mascotas clientes disfrutando sus productos 🥰

¿Quieres que tu mascota aparezca aquí?
📸 Súbete foto usando nuestros productos con #BuenAmigo y etiquétanos

🛒 Link en bio para unirte a la familia

#BuenAmigo #Testimonio #ClientesFelices #pezMexico","Happy pez with satisfied expression, natural lighting, cozy home background, bokeh effect, Instagram portrait style, warm and inviting"
"27","2026-03-26","Detrás de Cámaras","Juguete Interactivo Inteligente","11:00 AM","📦 DETRÁS DE CÁMARAS 📦

Así empacamos cada pedido con amor 💙

En BuenAmigo cada caja incluye:
✨ Producto verificado y probado
✨ Stickers exclusivos de mascotas
✨ Guía de cuidado personalizada
✨ Sorpresita para tu peludo amigo

¿Ya recibiste tu pedido? Cuéntanos qué te pareció en los comentarios 👇

— El equipo BuenAmigo 🐕

#BuenAmigo #BehindTheScenes #Equipo #EmprendedorMexico #HechoConAmor","Professional product photography of ""Juguete Interactivo Inteligente"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"28","2026-03-27","Producto Destacado","Fuente de Agua Automática","11:00 AM","¿Tu perro necesita esto? 🐕✨

Fuente de Agua Automática

✅ Fuente de 2.4L con filtro
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $39.99 MXN
🔥 Oferta especial (Antes $49.99)

🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #PerroMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Fuente de Agua Automática"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"29","2026-03-28","Tip Educativo","Guante Quitapelos Mágico","1:00 PM","💡 SABÍAS QUE...

Tu perro necesita estimulación mental para ser feliz 🧠🐕

Un perro aburrido puede desarrollar comportamientos destructivos. Los juguetes interactivos como nuestro Guante Quitapelos Mágico son la solución perfecta.

✅ Reduce ansiedad
✅ Ejercita la mente
✅ Diversión garantizada

💬 ¿Tu perro muestra signos de aburrimiento? Cuéntanos 👇

Guarda este post para recordarlo 📌

#BuenAmigo #TipsMascotas #CuidadoPerro #EducaciónPet #MascotasMexico","Instagram infographic about pet care tips for perro, modern flat design, icons, orange and teal colors, easy to read typography, engaging layout"
"30","2026-03-29","Estilo de Vida","Cama Ortopédica Memory Foam","1:00 PM","Así de feliz está tu perro con Cama Ortopédica Memory Foam 💙🐕

Cama ergonómica con espuma

📦 Envío a todo México
✨ Garantía de satisfacción

💬 ¿A tu mascota le gustaría? Cuéntanos en los comentarios 👇

#BuenAmigo #MascotasFelices #perro #PetLoversMexico","Lifestyle photo of happy perro using ""Cama Ortopédica Memory Foam"" in modern home setting, natural window light, cozy atmosphere, Instagram aesthetic, candid moment, warm tones"
